k,w,b,true_jaccard,estimated_jaccard_kmers,estimated_jaccard_minimizers,time_kmers,time_minimizers,erm_kmers,eam_kmers,erm_minimizers,eam_minimizers
25,100,10,0,0.000411696,0.000226729,0.0616382,1.67911,0.000411696,0.000411696,0.000226729,0.000226729
25,100,10,4.90114e-05,0.0342716,0,0.109935,3.39394,698.258,0.0342226,1,4.90114e-05
25,100,10,8.72039e-06,0.00197928,0,0.627686,16.8316,225.971,0.00197056,1,8.72039e-06
25,100,10,0,0.000324672,0.000598448,0.0541753,1.70484,0.000324672,0.000324672,0.000598448,0.000598448
25,100,10,0,0.000110643,7.73862e-05,0.493108,15.0028,0.000110643,0.000110643,7.73862e-05,7.73862e-05
25,100,10,9.47162e-06,0.00703753,0,0.541976,16.8091,742.012,0.00702806,1,9.47162e-06
25,100,14,0,0.00321691,0.00711267,0.0674776,1.98426,0.00321691,0.00321691,0.00711267,0.00711267
25,100,14,0,0.000698181,0.000458724,0.0195082,0.33542,0.000698181,0.000698181,0.000458724,0.000458724
25,100,14,0,0.00223042,0.000754576,0.0672463,2.00548,0.00223042,0.00223042,0.000754576,0.000754576
25,100,14,0,6.38549e-05,0.000359808,0.557719,15.3919,6.38549e-05,6.38549e-05,0.000359808,0.000359808
25,100,14,0,0.000326113,0.000218521,0.057364,1.64047,0.000326113,0.000326113,0.000218521,0.000218521
25,100,14,4.90114e-05,0.00796346,0,0.104218,3.34218,161.482,0.00791445,1,4.90114e-05
25,100,14,8.72039e-06,0.000509129,0.000988895,0.650046,16.6271,57.3837,0.000500408,112.4,0.000980174
25,100,14,0,0.000107364,0.000183726,0.0606654,1.69732,0.000107364,0.000107364,0.000183726,0.000183726
25,100,14,0,0.000107049,0,0.628842,14.8909,0.000107049,0.000107049,0,0
25,100,14,9.47162e-06,0.00284837,0.000398948,0.565015,17.0348,299.726,0.0028389,41.1204,0.000389477

Global Statistics
Average True Jaccard,2.18659e-05
Min True Jaccard,0
Max True Jaccard,0.000153953
Average ERM K-mers,57.5426
Average EAM K-mers,0.0025294
Average ERM Minimizers,63.2461
Average EAM Minimizers,0.00274881
Average Time K-mers,0.246923
Average Time Minimizers,5.67614
